Entry,Interacts with
P54259,Q12805; O95967; P46934; Q9HAU0; P61289; Q9NWB1; Q9P2R6; Q15654; P61964; P46937
Q86V38,Q8NC06-3; P11117; Q96BT7-2; P49418; Q5H9R4-2; Q8WXK3-2; O95817; Q8TBE0; Q9UQB8-3; Q9UQB8-6; O15155-2; Q9UMX3; Q9H0W9-3; Q9H257-2; Q9NNX6-10; O75508; Q9BT09; Q86WV2; P68400; P09668; P61962; Q9BY27; Q9NQL9; Q9Y6W6; Q99944; P23588; Q6NXG1; Q6NXG1-3; Q9NVF9; Q6NZ36-4; Q96GL9; Q14296; Q7L622; P15976-2; Q9Y2T5; Q13322-4; B2RAF7; O14964; P52790; Q9P0W2; P52597; Q4VB01; Q8IYA8; Q14005-2; Q0VD86; P57682; Q9Y2M5; P05787-2; Q14533; P59991; Q3LI76; Q3LHN2; Q3LI72; Q3SYF9; Q3LI66; Q8IUC2; Q9BYQ3; Q14847-2; Q96PV6; Q6DKI2; Q8TE12-2; O95332; Q96JB6; Q15759; Q8N6R0; A0A0A0MR05; Q13405; Q9BRA0; P48645; Q9Y266; Q7RTU3; Q7Z4N8; Q13371; Q13526; P78337; Q99697-2; P19388; Q6ZMI0-5; Q7Z5V6-2; Q86UA1; P61289; P35354; P53801; Q9NWB1-5; Q96PK6; Q9BWF3; Q9BQ04; Q9H4E5; Q9H0X6; Q06455-2; Q86SQ7-2; Q9NTN9-3; Q2NKQ1-4; Q8IUQ4-2; Q6ZT89-3; Q5T0L3; Q496A3; Q9BUD6; Q9C004; O75177-5; Q99469; O75558; Q9UMX1; O43463; O60506-4; O15273; Q9BXF9; Q96A09; Q6YHU6; O60830; Q8IU80-2; Q8IUR5-4; O95379; Q96KP6; P06753-2; Q96A04; O60636; Q9H9P5-5; Q9NVA1; O75604; P61964; Q9NZC7-5; O00308; Q96EF9; Q8N0Y2-2; Q96F45; Q7Z783; Q96EJ4
P13591,P25098; Q9UNE7
P21796,P06493; P19367; Q5S007; P30041; Q7L3V2; P12236; P21796; P45880; Q9Y277; P62258; P0C0U1
O00585,Q99616; Q92583; Q9Y258; Q9NRJ3; P13501; P02778; P48061; O95715; Q07325; Q8WXH2; Q5XKR4; P02776; P10720; Q6UX40; Q5BVD1
P45381,Q96HD9; P45381; Q9UNS2; Q68J44; Q14145; O75925; Q9UHD9; Q9H347; Q8IYU4
P26717,Q13241
Q15848,Q86WK6; Q13520; P07307-3; Q9BXK5; Q13323; O60238; Q8WZ55; Q6UXG8-3; P49069; Q8WV48; Q8TD46-4; P11912; O95484; Q8IUN9; Q9UHP7-3; P34972; O75208; Q7Z7G2; Q96BA8; Q9BQA9; P30040; Q5JX71; P49327; P12314; Q9Y680; Q8TBE3; Q8TDT2; O15529; Q8NBQ5; P42858; P38484; Q8N6L0; O95279; P23276; Q9GZY8-5; Q5SR56; Q6ZSS7; Q6IN84; Q96HJ5; P15941-11; O14524-2; O00623; Q8NFJ6; P15151; Q9NY72; O43765; Q96EQ0; Q96PQ1; A1A5C7-2; Q9NQQ7-3; Q7Z769; Q96A49; Q8N205-2; Q7Z7N9; Q96Q45-2; Q53FP2; O15393-2; O43557; Q9UPQ4-2
A8K660,Q8N6L0; O43765; Q8N205
O94811,Q02539; Q8N7X4; P37840; P45880; Q8NC26
P42224,Q16531; O95786; Q01094; P00533; Q8N9N8; P04626; P01100; P17181; P48551; P15260; P23458; P52294; Q7Z434; Q01804; Q05397; P19793; P42224; P52630; P40763; P07239; P0DTC9; P0DTC2; Q4VW77; P03255-1; P03255-2; P26664; PRO_0000037566 [P27958]; PRO_0000037576 [P27958]; Q9Y4C1; P42224-1; P06498; P42224-2
Q9C035,O95863; Q13049; Q9C035; Q2Y080; Q08426; P13473-2; Q5T2T1; Q8N3F0; Q96HA8; O43765; Q9Y371; Q3SY00; P57075-2; P61086; P07947
P07998,P13489; Q9C029
P03999,Q9GZY8-5
Q9H4A6,Q15041; Q02742; Q92614; P13010; P12520
Q9GZX7,Q9GZX7; P31689; O60884; P24522; P11142; P52294; O00505; O15131; P17612; P10644; Q13569; Q784Z8
P54725,Q6AI12; Q9NP61; P54253; P54252; Q4VBR4; Q8N137; P48730-2; Q15038; P68104; P26378-2; B7ZLH0; P42858; P06756; P59991; Q9H8M7; Q9UHC7; Q15843; Q96IV0; Q8TBJ4; Q07869; Q13200; P55036; Q9UJ41-4; Q04864-2; Q6NTF9-3; Q9H4P4; P62979; Q16586; Q8NCS7; Q13501; O43463; P21580; Q12933; Q13114; Q9Y228; O00463; Q9Y4K3; Q9HCM9-2; Q86XT4; Q9BYV2; Q9BYV6-2; Q9BZR9; Q15654; P62987; Q9UHD9; Q04323-2; Q96RL1-2; Q9UHP3; P25490; Q9HCK0; Q8NCP5; Q96BR9; Q6FIF0; Q9JI78
P11473,Q09472; Q15648; P50222; Q15788; P26045; P19793; Q13573; Q13501; P04637; Q15645; Q9JLI4; P28700; X5D778; Q96HA8; Q01804; Q96S38; P48443
P16278,Q8NBJ4; Q3KNW5; Q9BRI3; P30825
P48681,P08670
P30048,Q9H8Y8; Q5S007; P30048; Q15935
P02545,Q6H8Q1-8; P18054; Q96DX5; Q8WXF7; P46379-2; Q8TBE0; Q9ULD4-2; Q96GN5-2; Q9UII6; P50402; Q3B820; A6H8Z2-3; P58499; Q8IZU1; Q8NEA9; P16104; Q71DI3; Q0D2I5-5; Q13123; Q14005-2; Q96EL1; Q8NA54; Q99612; P60409; P20700; Q03252; O76041; Q12986; Q9Y239; Q13133-3; Q9BZ95-3; Q6X4W1-6; O75694; Q3SX64; Q96RG2; Q9HBE1-4; Q96FA3; O75925; Q03181-2; Q9NWB1-5; Q8TCX5; Q8WVD3; P62701; Q6ZNE9; Q8N488; Q8IYM2; Q13573; Q7Z699; Q7Z698; O75886; Q9UNE7; Q9UH99; Q8WXH0-1; P54274-2; P42166; Q96KP6; Q86WT6-2; Q5VYS8-5; Q04323-2; Q9Y4E8-2; Q70EL1-9; Q93009; P63104; P10074; Q6ZN57; Q8WW38; Q15776; P17024; Q14585; Q9C0F3; Q8N0Y2-2; Q96MN9-2; Q6ZNH5; Q8TBZ8; Q7Z3I7; Q96LX8; Q9BS31; O43309; P10073; P10215; P10218; P50402; P20700; PRO_0000314029 [P36956]; O75844; Q9HC96; Q9UNS2; Q0D2I5; P02545-2; P20700; O75925; Q8N0S2; Q9GZS3; Q71DI3
P22301,O76003; Q13651; Q08334; Q8IUG1; P60410; Q9BYQ7; P0DPK4; P25490
P04085,P16234; P04085-1; Q12797-6; O95983-2; Q99750
Q10589,Q10589; P60033; P59901; P35585; A9QPL9; P69699
P67809,Q07021; Q13616; Q08211; Q09472; Q7Z6M2; Q14103-4; P62310; Q99697; O15355; Q13148; P13693; Q08705; PRO_0000038050 [P19712]
Q9NR12,Q9NYB9-2; O95817; Q8NEC5; P26196; Q8NFT8; Q9H0I2; Q7L5A3; Q86YD7; O43559; Q8NEG0; P55040; Q9NWQ4-1; Q9UBP5; P52597; O75031; Q9UBY9; Q14005-2; A4QPB0; Q63ZY3; Q8NFP7; Q7L8S5; Q9HBI0; O43189; Q13526; Q494U1-3; Q0VAM2-3; Q9BUL9; Q9BWG6; Q8ND83; Q9Y242; O14787-2; Q99816; Q3SY00; Q9NRR5; O00308; P46937; P09022
P17735,P15104; P28799; P28799-2; P17735; Q05086; Q05086-3
Q7Z7C8,P41091; Q0VDC6; P54652; P49591; Q12962
P41597,Q9BW27
Q14242,P16109; Q7Z614
A0A0C4DFY0,P43355
Q99731,Q6FHY5; P98066
Q8IUR6,O43889-2; O60519; Q14451-3; Q9UJV3-2; P41227; Q9BSU3
P01563,P48551; Q9NPL8
Q86X60,Q5T749; P32242
Q99653,P19634; A0A142I5B9
Q9UHD1,P07900; P08238
P02768,P02768; P02786; Q8N5Z5; Q6GQQ9-2; Q07869; Q09028; Q86WT6-2; O76024
Q8TES7,Q9P2A4; Q9H2G9; Q13137; Q68D86; Q53EZ4; Q96MT8; Q9BW66; Q05D60; P15976; Q08379; Q9UKT9; A1A4E9; Q15323; Q6A162; Q9BRK4; P50222; Q9UJV3-2; Q8TD10; Q8ND90; Q93062; Q9Y2D8; P63165; O75478; Q5VWN6-2; Q8IYF3; Q08117; Q13077; P36406; P14373; Q9BYV2; Q9BZW7; Q5I0X7; Q8N6Y0; Q9H9H4
P04150,P31749; P01730; P00533; P41235; P07900; Q6ZU52; P06239; P28702; Q14141; O95416; P82094; P59598; Q62667; Q61026
