Entry,Interacts with
P04792,Q6UY14-3; Q6ZTN6-2; Q8N8A2-2; Q92688; P08758; P13928; D3DTF8; P05067; O94778; Q9NP61; Q86TN1; Q9Y575-3; Q6XD76; Q96FT7-4; P15313; O95817; P46379-2; Q16611; Q14457; Q96LC9; Q9NSI6-4; Q9H0W9-4; Q96LL4; P27797; Q8N5S9-2; Q9HC96; A0A1B0GWI1; Q9Y3D0; Q96DZ5; Q6PJW8-3; Q9UNS2; Q9H9Q2; Q8IUI8; P02489; P02511; P01040; Q9UER7; Q5TAQ9-2; O00148; O00273; Q8NDP9; Q7L591-3; A0A024RCP2; Q9BPU6; Q15029; O00303; Q14240; P78344; Q6UXG2-3; Q6NXG1; Q6P587-2; Q6P1L5; Q49AJ0-4; Q96GL9; Q17RN3; Q8IZU1; O15287; Q8TC84; O00757; Q02790; P02794; P11413; P15976-2; Q9NXC2; Q9HBQ8; O95872; Q7Z602; Q9Y4H4; P78417; A0A024R1L7; P04792; Q9UJY1; Q96EW2-2; Q7Z6Z7; P78318; Q14005-2; Q9NXX0; Q8NA54; Q9UKP3-2; P0C870; Q9NVX7-2; Q8WZ19; Q96SI1-2; Q06136; Q6ZU52; Q9UIH9; P57682; Q9Y2M5; Q8N1A0; Q3SY46; Q3SYF9; Q8IUC2; Q14847-2; Q96PV6; Q9UPM6; Q8N448; A2RU56; Q96JB6; Q14693; Q9UDY8-2; Q99683; P49137; Q16644; Q8IW41; P61244-4; Q03112-9; P51608; Q8N6F8; Q15049; A0A0A0MR05; P08473; Q8N594; Q99608; Q8N5V2; Q8NBF2-2; Q14995; P36639-4; Q9NZJ9; O15381-5; Q5BJF6-2; Q96FW1; Q6GQQ9-2; Q8N7H5; Q9BRX2; O15534; Q96FX8; Q96LB9; Q96G03; O75925; Q9UF11-2; Q58EX7-2; Q6ZR37; Q8NA72-3; Q9H1D9; O43741; P11908; Q8WUY3; P28062-2; P62333; P47897; Q86YS6; Q9Y5P3; Q6NTF9-3; Q8TDP1; Q8N5U6; Q96D59; P62244; P62979; P08865; Q66K80; Q8N6K7-2; Q9NTN9-3; Q12874; Q9NUL5-3; Q8IYI0; P08195-4; Q9NSD5-3; Q92966; Q13573; Q99932-2; Q6RVD6; Q9Y657; Q8TCT7-2; Q9C004; Q8IXS7; Q9UNE7; Q8NBJ7; Q17RD7-3; Q5VWN6; Q8IYN2; Q13569; Q86WV5; Q96A09; P21980-2; O60830; A0AVI4-2; Q53NU3; Q8IUR5-4; Q71RG4-4; P04637; P13693; P36406; Q86WV8; Q9Y3Q8; Q99614; Q9BUF5; Q5VYS8-5; Q8NBM4-4; Q969T4; Q8WVN8; Q04323-2; O75604-3; P45880; P58304; Q9BQA1; Q9BRX9; Q9NZC7-5; P13010; P63104; Q8TBF4; Q96K21; Q96MN9-2; Q96N77-2; Q9BS34; Q16670; Q2QGD7; A0A384ME25; B7Z3E8; Q7L8T7; Q86V28
P27361,Q9HCU0; P53355; P49366; P28562; Q16828; P19419; Q49AJ0-4; Q96NJ5; Q02750; Q16539; P27361; Q96HT8; Q6GQQ9-2; Q9ULW8; Q15121; P14618-1; Q8N490; P23467; Q12913; Q14160; P13051-2; Q08509; Q60793; Q9EPI6; Q62132
Q09028,P02768-3; P30038; P54253; O95817; P55212; P36544; O94985-2; P21333-2; O14929; Q13547; O00291; P13473-2; Q03112; Q13330; P07237; P60201-2; Q9HAZ2; P62826; Q9Y371; P00441; P51692; P31948; Q13148; Q8IX07; Q9BRL8
P54849,P16157-17; Q68DC2; Q9BQE5; Q13520; Q3SXY8; Q15041; P07307-3; Q99437; O15342; Q8WVV5; P51681; P11049; P09693; P19397; P11912; Q8NHQ1; O95484; Q9Y5Q5; P25025; Q15125; Q92838; Q08426; Q9Y282; O15552; Q96F15; O15529; Q9NZD1; P28335; Q6UXK2; Q9HDC5; P26715; Q86VI4; O95214; Q8TAF8; P43657; Q96PB8; Q8N112; P21145; Q13021; Q9GZW8; P35372-10; Q96CS7; Q01453; Q9UI14; Q9NS64; A2A2V5; Q9BZL3; Q9HBV2; P27105; Q8N205; Q0VAB0; Q9Y6I9; Q96MV1; B3SHH9; Q9NX00; A2RU14; Q8WW34-2; E9PQX1; Q9P0T7; Q5TGU0
Q96QU6,Q96QU6; P14927
Q9GZX6,Q08334; Q8N6P7; Q8N6P7
P05412,P78563; Q06481; P05067; P18846; P15336; P18847; P18848; P17544; Q16520; Q8N1L9; Q8N1L9-1; Q9NR55; Q8IWZ6; Q99966; Q9UGL9; O43889; P20042; P14921; P22607; P01100; P15407; P15408; Q9HD26; P06396; P07900; P11142; P10809; P05412; P52292; P53779; P45983; P45983-1; Q9UPY8; Q00987; Q13330; I6L9F6; P07197; O95644; Q13469-2; Q16236; O60829; P27986-2; P48634; P63000; Q8WTV0; Q15796; Q9NRL3; P56279; Q71U36; P07437; Q13885; Q9UMX0; Q99986; P0C746; Q8WQG9; P56671; Q9DGW5
P13232,P31785; P16871
Q15843,Q9Y297; Q13616; P06396; O15037; Q9UNA4; P63151; P54725; P62913; P18124; P60866; P23396; P62081; P04271; Q8WXE9; P07437; P61086; P61081; O94888; P09936
P51677,P51671
P10176,Q16520; P56851; P43358; P06748
Q9NRJ3,P51671; Q92583; O00585; Q9Y258; P13501; P02778; P48061; Q8WTU0; P51808; P02776; P25788; Q9UNE7; Q86WV8
P04233,P16070; P25025; P61073; P60228; Q14974; P0A6Y8; O15155; Q8N6F1-2; Q9BXN2-6; Q96FZ5; P56851; Q9UKR5; P37268; Q9H0Q3; Q9UBY5; Q8N912; P0DJD7; P60201-2; Q5VZY2; Q8WZA1; Q13635-3; Q5QGT7; Q96IW7; Q9Y6X1; P78383; B2RUZ4; Q8IYF3-3; A0PK00; Q9BU79; Q8TBM7; Q9H2L4; Q5BJF2; O00526
P04114,P01130; P55157; PRO_0000037946 [P29991]
P32320,Q96EY9; Q96B67; P32320; Q96D03; Q9BVV2; O15353; Q9H8Y8; Q0VD86; Q3LI64; Q8IUC2; Q8TBB1; Q96HA8; Q96CS7; P25786; P43115-12; O00560; O43167
Q9ULV1,P01023; G5E9A7; P50570-2; P42858; Q00604; Q7Z699; G3GTH2
P51692,P00519; P38936; Q13111; Q96EY1; I6L957; Q8TCE9; P61968; Q71SY5; P82932; Q13287; Q92569; Q09028; Q99469; P51692; P51687; Q96PN8; O75604; Q86VK4-3
P13236,Q3SXY8; P13236; P34972; P48165; Q8TDT2; Q9NZD1; Q9P0N8; Q6IN84; Q3KNW5; P54219-3; Q9BRI3; Q8IWU4; P30825; Q9NYW4; Q9NPL8; Q9NUH8; Q7Z7N9; Q8N661; Q86WB7-2; P51681
Q02790,Q9UKV8; P10275; Q16543; Q92990; P07900; P08238; P04792; P29034; P06703; P35467
P25942,Q96DZ9-2; Q9NX76; Q8NBI2; Q5J5C9; Q15125; Q9Y5U4; P21145; Q6N075; P30301; P60201-2; Q9BRI3; Q99726; Q96H72; P30825; Q96CP7; Q6UX40; Q5BJH2-2; Q9BVK8; Q12933; Q13114; Q9Y4K3; B2RUR8
P20592,Q8WXE1; A2ABF9; Q96KQ7; O75928
P35579,P61073; P62993; O00255; O00255-2; P35579; P19338; P23297; P29034; P26447; P33763; P06703; P04271; P25815; P0DTC2; O46385
P42771,P11802; Q00534; Q6UXH1; O75398; O75496; Q00839; Q14566; P12004; Q8NHU6
Q8N726,Q07021; Q9UER7; P18146; Q7Z6Z7; Q00987; Q13330; P04198; P06748; P08047; Q14669; Q8TAQ5; Q8AZK7
O43909,P54253
Q8TAX7,P04745; P15515; P02810; P02808
P63279,P54253; O14503; Q9H444; Q9UER7; Q9UBC3; Q8WWZ3; P19419; Q96IK5; Q08379; P56524; P42858; O94829; O75928; P49792; P46060; Q6ZNA4; Q9Y265; Q9Y3V2; Q7Z333; Q13485; P56693; P63165; G2XKQ0; P61956; P05549; Q92754; Q12800; P04637; P22314; Q9UBT2; Q9HCK0; Q8N3Z6; Q9Y4E5; P03116; P03230; P59595; PRO_0000037946 [P29991]
Q9UNS1,O14757
P42574,O43823; Q9Y243; P05067; P54252; P55212; P55211; Q14203-5; P42858; Q00987; O60551; P09874; Q5JUK2; P10599; Q9BYP7; P98170
P12318,Q9UMX0; Q9UMX0-2; Q08AM2; Q9NRZ5; O14735; Q96DZ9-2; Q8N6G5; Q07325; Q14802-3; Q8WWP7; P30301; P42857; Q8N6R1; O00526
P43694,Q9Y2Y9; P52952
P01588,P54760; P19235; P19235
Q13619,P54253; Q86VP6; Q16531; Q92466; P08238; Q15291; O94888; P55072
P10747,P27986; P01552
P34932,Q6RW13; Q92624; P00533; P11142; P78424
O60260,P54252-2; Q8IZ52-2; Q9Y3I1; Q9Y3I1-1; Q9UBN7; P08238; Q5S007; O95140; Q16342; Q9BXM7; Q9BXM7-1; O60260; P49792; Q8IXI2; Q15645; Q6NUN9; Q9Z2Q6; P68510; PRO_0000045592 [Q99IB8]; Q6ZTN6-2; Q86WR3; P63010-2; P05067; Q0P5N6; Q86TN1; Q8WXK3; Q8WXK3-2; Q9Y575-3; Q9H672-2; Q96DX5; Q96DX5-3; Q9H0Y0; P54253; O14867; P46379-2; A8KA13; Q8WUW1; P29466-3; Q13939; P78396-2; Q00535; Q9UNS2; Q9UBU7; Q5QP82-2; P61962; Q5TAQ9-2; Q9BW61; Q8NDP9; P78352-2; P31689; A0A024RCP2; O75530-2; Q8TC29; Q6P1L5; O00757; P57775; Q9UHY8; P22607; Q9H2C0; Q9NXC2; Q96IK5; P62879; Q7Z602; P06396; P68431; Q86YM7; P0DMV8; P11142; Q6DN90-2; Q8NA54; P05161; Q9UKP3-2; Q9NVX7-2; Q9UIH9; Q6TDP4; O94889; Q9Y2M5; Q8WZ60; Q3SY46; Q9BYQ4; Q9BYZ2; Q8TBB1; O95777; Q9GZQ8; P10636-6; P61244-4; Q8TDB4; A4FUJ8; P51948; Q8N594; Q9Y483-4; Q9NPC7; Q96FW1; Q6GQQ9-2; P68402; Q9NR21-5; Q9HBE1-4; Q96MG8; Q9NV79; Q13113; Q96LB9; Q6ZR37; P25786; P40306; P28070; O60671; Q8NDN9-2; P41220; A0A087WUY2; O94844; Q8N5U6; Q9Y3C5; Q6ZNA4-2; Q9ULX5; Q8WVD3; Q9UBS8; Q96A37; Q96D59; Q96BH1; P08865; Q8N488; Q15393; Q2NKQ1-4; Q14190-2; Q9HCE7-2; P37840; Q9Y6H5-5; Q96DI7; O14544; Q99932-2; Q8IUW3; Q8TCT7-2; Q7Z699; Q9C004; Q96BD6; Q99619; O75886; O95630; Q9UNE7; Q9BT88; Q13148; Q16650; Q15554-4; Q04724; Q71RG4-4; Q9H0E2; P19474; Q9UPQ4-2; Q8NBM4-4; P57075-2; P0CG47; O15205; Q9Y385; P68036; P61081; Q9C0C9; Q13404; Q04323-2; Q9Y3C8; Q96RL1-2; O75604-3; P18206-2; P45880; P40337-2; Q9UBQ0-2; Q9GZS3; O00308; Q04917; O43167-2; Q15916; Q9Y649
P23352,P11362; P61601; Q9UMX0
P01562,Q9UHD9
P25090,P05090; P05067; Q9H0Q3; Q8N386; Q8WWF3
P05231,P08887; Q92673; Q99523
Q03181,O60341; P55055-1; Q13133; P42858; P60409; P02545; Q7Z699; Q96EG3
Q16539,P48730-2; P28562; Q99956; P68104; P46734; P52564; P27361; P49137; Q16644; Q9BUB5; Q9HBH9; P35813; Q15256; P06400; O75676; Q8NEM7; Q92574; Q07352; O43257; P22736-1; Q15256-1; P54830-1; P28482; P49790
Q86VB7,P12314
Q8IU57,Q86W74-2; Q6PL45-2; Q4LDR2; P09466
Q9NRF9,Q9NRG0; Q658N3; Q01658; Q14919; Q9NR33; Q9Q2G4
P00533,P00519; P42684; Q15109; Q9UKV8; Q09666; O00170; Q02952; Q92625; P04083; P07355; Q10567; Q96CW1; O00213; Q92870; O95704; Q9UKG1; O14965; P30530; Q9UQB8; Q9BXH1; Q14457; P51451; P62158; P49069; Q03135; P51636; P22681; Q16543; P12830; P06493; P23528; Q9BZP6; Q9NSE2; Q7Z7G1; P46108; P46108-1; P46109; O60716; Q14247; Q6PKX4; P01133; P00533; Q6UW88; Q12929; P04626; P21860; Q15303; P07992; O14944; Q9UJM3; P03372; P03372-4; Q92731; Q96A65; P15311; Q9BXW9; P09769; Q13451; Q14318; Q13480; Q9UQC2; P60520; P47869; P04406; Q8NBJ4; Q14956; Q14956-1; O75791; Q13322; P62993; Q99075; P08631; Q9UBN7; Q8WUI4; P07900; P08238; Q6PK50; P08107; P34932; P11142; P38646; P17936; P46940; O14654; Q9NZM3; P14923; Q86VI4; O43561; Q13094; Q96FE5; Q96JA1; O94898; Q38SD2; P07948; P07948-1; Q12852; Q9UQF2; Q13387; Q9Y2H9; P08581; P14174; P15941; P16333; P46934; P04150; P49757; Q9Y6R0; Q13438; P16234; O00750; P27986; O00459; Q92569; P19174; P16885; P35813; P17252; Q05397; P18031; Q06124; Q05209; Q9Y2R2; P18433; P23467; P08575; P23470; Q9HD43; Q9UJ41; Q70E73; P20936; Q13671; Q01973; Q92622; P26447; P61619; Q9UBV2; P31947; Q9NRF2; Q9UQQ2; Q9BRG2; P29353; P29353-7; P98077; Q6S5L8; Q13239; P13866; Q07889; P12931; P42224; P40763; P42229; P31948; Q9UNE7; O43752; P43405; Q15750; P01135; Q9Y490; O60603; Q9Y6Q6-2; Q68CZ2; O75674; Q12933; Q71U36; Q13885; P10599; P09936; Q9P0L0; P07947; P27348; P63104; P43403; Q53FC7; Q96BE0; P62161; P22682; Q9QZC5; P97313; P20417; Q80U62; P0DTC2; Q8K424
P43681,Q6UY14-3; P05067; P83916; Q6UXH1-1; Q6UXH1-3; P20042; Q9NZR2; Q92673; P17787
O75791,O14672; P00533; P04626; Q9UQC2; Q9H706; P10721; Q5T749; Q13094; Q8TBB1; P00540; P30039; P54646; P0CG20; Q9H3S7; Q8IY67; Q9H788; O43597; O95630; P15622-3; Q9P2F9; Q9Y5A6; Q7Z783; Q08460
P28328,P40855
Q8N7H5,Q6P1J9; Q6PD62; P51116; P04792; Q03164; Q8WVC0; A0A455ZAR2; P24928; Q92541; P23193; Q6PGP7; P51965; B2BUF1
Q9NNX6,Q08AM6; P0DTC2; PRO_0000278734 [Q03463]; Q86V38; P55212; P02489; O75190-2; O14645; O75460-2; Q0VDC6; P54652; Q8IY31-3; O14901; P13473-2; Q9BVL2; D3DTS7; O75400-2; P62826; P50502; Q8IYN2; Q08AM6
Q29983,P26718; P17931
Q92887,P19838
Q9NZH6,P28329-3; P22607; Q14957; P06396; O43741; Q9UMX0; Q9Y649
P17252,Q15027; Q06481-5; Q66PJ3-4; Q13072; Q8N9N5-2; Q96A33; Q96LY2-2; P15169; P43234; O95424; O43598; P21728; P00533; P60228; Q96J88-3; Q8IVH2-2; Q96NE9-2; O14926; Q06547-3; P19440-3; Q9UJ42; P62805; Q9UBN7; P52597; Q92826; Q02363; Q96FT9-2; P17936; P26951; Q9BYR8; Q9Y234; P51884; Q9H213; P80192; Q15759; A0JLT2-2; Q9H8H3; Q8N983-3; P49821; Q2M1J6; Q9BRX2; Q9Y6X2; P11309-2; Q6P1J6-2; Q9UNA4; Q02156; P07225; Q3YEC7-3; O94844; Q9NWS8-3; Q9ULK6-3; P18077; P31431; Q99643; Q14141; Q01105-2; P37840; Q9Y5X0; P56693; Q9BRW5; O43761; P15884; Q3YBM2; P0CG48; P13051-2; Q8NB14; O95498; Q9NZC7-5; Q9BQ24; Q05CR2; Q8N0Y2-2; O15535; Q24008
P11226,P02743; P02749; P27797; P17927; Q9UGM3; Q07954; P48740; P48740-1; P48740-2; P48740-3; PRO_0000027592 [P48740]; O00187; O00187-2; PRO_0000027598 [O00187]; P11226; P10124; O00206; Q9UHD9; PRO_0000037570 [P27958]; PRO_0000000214 [P9WQP3]; P9WQP1; P0DTC2
Q99578,Q3MIN7; Q01959
P78352,Q9P021; O14490; Q15303; Q12879; Q13224; Q14957; Q09470; P22459; O60333-3; Q07954; Q00987; Q15311; O43166; P97836-5; Q8VDU0; P10499; P63142; P15384; P15385; Q8R4I7; O60260-5
P28347,P46937; Q26366; P01023; P54253; P07339; P50570-2; P28799; P42858; Q96CV9; Q9BXM7; Q9Y3C5; P37840; O75382; A8MV65-2; O76024; Q9GZV5
O60232,P35609; P51946; P78371; P49368; P48643; Q99832; V9HW96; V9HW37; Q0VD86; O75928-2; P78317; O75971; G2XKQ0; Q9Y228; Q7KZS0; Q9UJ78-2; Q9Q2G4
Q00653,P41279; P19838; P25963; Q04864; Q01201; P63165; O00255-2
P05154,P02751
Q8IUH3,Q9NW38; Q9Y316; Q13077; Q99757; Q15699; Q8WXH2; Q96HA8; Q8IUH3-3; O14787-2; Q13077; Q99757
O14519,Q8N5M1; Q9H257-2; Q96JN2-2; P22607; Q96HT8; Q96HA8; Q9NRD5; Q9NZD8; A0A024R8A9
Q16630,Q9H6L4; O43809; Q96DC9; O15162; Q9Y3C6; Q6FIE9; Q9H0M0; O43809; Q9H6L4; O95817; O43639; O43809; Q9UK80; Q9NZC7-5; P07947; Q96E35
Q14116,Q15847; Q13478; Q9IW12
P31749,Q6UY14-3; P31749; Q86V81; Q8IXJ9; P54253; O95999; Q9H0C5; Q9UQM7; P20248; Q16543; Q8TAP6; Q92793; Q15438; Q96D03; P26358; Q1W6H9; Q12778; O43524; P06241; P22466; P49841; Q96LI6-3; P08238; P42858; Q5S007; Q99683; P10636; Q00987; Q14696; P42345; Q9BZQ8; P04150; O15530; Q96S96; P19174; O60437; P62136; P67775; P30153; P17612; Q05513; Q8WUY3; Q15047; Q96EB6; Q13043; Q9UNE7-1; P56279; Q9NYB0; Q5T1C6; Q92547; P53804; P10599; P08670; Q6GPH4; A0A024RC47; P29067; Q83730; P03165; Q15118-1
A0A0S2Z3D6,Q5JR59-3; P56279
P63261,P60709; P63261; P40123; O60826; Q16543; P23528; Q549N0; Q9Y281; P60981; Q08426; P42858; P40692; Q96HA8; Q1KLZ0
P41221,Q9Y5W5
P07988,Q6FHY5
P04732,Q2TAC2-2
P03952,Q8TAB7; Q9UI10; O00746; C9J082; O14744; Q8TAS3; O00233; Q8IYM2; Q9UMY4; O43493-5; Q8NFB2; Q8N0U8
P26678,Q3SXY8; P07307-3; O15342; Q9BXK5; Q13323; P19397; O95471; Q9UHP7-3; Q7Z7G2; O43889-2; Q96BA8; Q09013; Q92838; Q9GZR5; Q5JX71; Q14318; Q8TBE3; P48165; Q8TDT2; O60883; Q8TED1; P31937; Q7Z5P4; P43628; Q5T700; Q8N112; Q9GZY8-5; Q6N075; Q99735; O14880; Q9GZW8; Q9H2K0; P15941-11; Q8TBJ4; O95197-3; Q9NR31; A0A0S2Z4U3; Q9Y3P8; Q15849; Q8IWU4; O95436-2; Q9NQQ7-3; Q9NP94; Q9HBV2; Q9NPE6; Q16623; P32856-2; Q9BVX2; Q7Z7N9; Q6UW68; Q9NWC5; Q96B21; Q4KMG9; Q8N661; O15393-2
P25025,Q9HD20-3; Q8WVX3-2; P04233; Q8N7P3; P10145; P54849; Q14318; P46940; Q05940; Q9NP94; Q9NRQ5; Q9BVK8; Q96HE8; A5PKU2
Q01826,P55212; P35222; Q6FHY5; Q9NZD8; P63165; G2XKQ0
O00421,Q8WVX3-2
Q9UKK6,Q8IX29; Q9UBU9; Q9H4D5; Q6ZW49-2; O95793; Q82506; Q9BP41
P43699,Q9P031; P16333
Q5TYM5,Q15777; Q96HA8
Q13309,A5D8W4; P38936; P46527; P61024; Q13616; P28562; Q09472; Q9UM11; P01106; Q13415; P62877; Q9NTG7; P63208; Q13309; P09803; Q4AE16; Q03164; P63208-1; P35232; P63208
P35247,Q9BYF1; O00322; P0DTC2; P0DTC2
P28906,O95994
P55040,O43865; Q8N2N9-4; Q8WXK1; Q9BUH8; Q6PI77; Q6QNY1; Q9H2G9; Q8NDD1-6; Q02641; P54284; Q9H257-2; Q68D86; Q86Z20; A6NC98; Q01850; Q8NHQ1; Q9Y2V7; Q96MW5; A8MQ03; Q8NFT6-2; Q05D60; Q9NRI5-2; Q9BQ95; Q5JST6; Q96B26; Q8TAE8; O95995; Q08379; A6NEM1; Q9HD26-2; Q96ED9-2; O75031; Q8IYA8; Q9UKT9; Q0VD86; Q8NBZ0; Q1MX18; Q86U28; Q9H079; Q7L273; Q9BVG8-5; Q15323; O76011; O76013-2; Q6A162; P02538; P78385; P60409; P60410; P48059-3; Q9P2M1; Q9BRK4; Q96EZ8; Q14696; A0A0C4DFN3; Q9UJV3-2; Q8TD10; Q13064; Q6PF18; Q4VC12; Q5JR59-3; P15173; P17568; Q7Z3S9; O43482; Q9BYU1; Q9NR12; Q9NWS0; Q9UPG8; Q9H8W4; Q8ND90; Q8WVV4-1; Q9GZV8; Q9NQX0; Q59EK9; O60641-3; O60504; Q96R06; Q9NWH7-2; Q9Y2D8; Q6DHY5; P15884; Q01664; Q9UBB9; Q96PF1; Q08117-2; Q05BL1; Q13077; Q12933; Q9UDY6-2; P36406; P14373; Q13049; Q9BYV2; Q86WT6-2; Q495M9; Q8N6Y0; P08670; Q9UK41-2; Q8N1B4; Q9NZC7-5; P31946; B2RXF5; Q9NQZ6; Q9UDW3; P17024; Q9H707; Q8N720; P0C7X2; Q6NX45; Q9UGI0; O15535; P27884; P54287
O95373,Q14974
Q8TF42,Q96PG8; Q13191; Q96LY2-2; Q15038; Q9NRI5-2; Q9P1A6-3; Q9NQL9; Q14183; Q8N9I9; O43281-2; Q92567; P14652; Q0VD86; Q92993; O60341; Q5T749; P25791-3; Q9BRK4; O75928-2; P0CG20; P20618; Q16825; Q96PM5; Q04864-2; Q9NWF9; Q6ZT89; O43597; P43405; P15884-3; Q96N21; O95271; Q05BL1; Q8TF42; Q9H9H4; O00401
Q13889,Q6P1K8
P09960,Q9BSI4
O00206,Q96A54; Q9Y6Y9; P11226; Q99836; Q9NPH5; O15389; O43699-3; Q9Y336; Q86XR7; P58753; O00206; Q9Y2C9; P24821; Q9Y6Y9; P49278
P55211,O14727; Q13490; Q96CA5; Q6PIA0; P42574; P43146; Q13418; P98170; Q8XAL7; P55211-1
Q16552,Q9BQC3; Q6PIL6
Q96LB0,Q5BVD1
Q9UKV8,Q9UL18; Q9UIV1; P26196; Q96C10; Q9UPY3; Q9UPY3-1; G5E9A7; P00533; Q13541; P22607; Q02790; Q9BVP2; O15397; Q9UGP4; Q5S007; Q86UE4; Q6IQ23; O75569; P04156; Q15185; P63244; P06400; Q7Z699; Q15633; Q9UHD2; A7MCY6; Q8NDV7; Q9UPQ9; Q9UPQ9-2; Q9HCJ0; Q9HA38
Q32MZ4,Q13045; P42858; Q9C0F1; Q9NPJ6
P22087,P17844; Q14684; Q96RS0; Q3KQV3
Q9UJY1,O95817; Q53TS8; Q9UNI6; Q7L5A3; P04792; Q16082; Q9UBY9; Q9UJY1; Q8IVT2; Q15773; Q9HC29-1; Q2TAL8; P49247; O15375; O14512; O75865-2
P46977,O43187; P16284; Q9H5K3; Q86WV6; P37173; P55072; O76024; Q6PDS3
Q05823,P46940; Q05823-1
Q1RLL8,Q99081
Q13177,Q9NYB9-2; Q15052; Q14155; P55210; P60953; P62993; P08631; P42858; P53667; P16333; O43639; Q13177; P63000; P04049; Q9H4E5; Q8TEJ3; Q9BX66; O94875; O60504; P12931; O55043; Q5PP90
Q96LA8,Q6P047; Q9BXL8; Q96EY1; O14645; Q9BQS8; Q8TE85; Q8NEC7; Q9BX10; Q9UBX0; P17096-1; P52926; Q9HAQ2; Q9Y2M5; Q96JB6; Q9H204; Q14995; P00973; Q86SE9; O00231; P50749; Q9UGK8; O15198; Q96H20; Q96BD6; Q9Y365; Q8N1K5; Q9Y3A6; A8K932
P81534,Q13520; Q9Y2C3; Q15125; Q9Y282; Q2M2E3; Q9NY72; Q8IWB4; Q8WWF3; Q9NUH8; O15393-2
P04637,Q13155; O95376; P49407; Q9UBL3; O95352-2; O15169; Q8N9N5; P10415; Q07817-1; O14503; P51587; Q9NPI1; Q9BX70; Q9Y297; P55212; Q9BWC9; P48643; P38936; P17676; Q92793; P55060; Q14999; Q8IWT3; Q9P0U4; Q9UER7; Q92841; P17844; Q9NRR4; Q9BV47; O14641; Q09472; P15036; Q86XK2; P21333-2; P51114; P49841; P32780; Q13547; Q86Z02; P09429; P61978; P61978-2; P38646; P04792; P42858; Q7Z6Z7; Q16666-2; O14920; Q9UHH9; Q6NYC1; Q92993; Q9H7Z6; O60341-1; Q8IZD2; P13473-2; P43356; Q96M61; Q9UBF1; P46821; Q15759; Q8IW41; Q00987; O15151; Q9UHC7; O75970; P04731; P19338; Q9Y618; P23511; P25208; Q9Y3T9; O60936; P06748; P06748-1; Q15466; P22736; O43847; O60285; P49757; Q96FW1; Q8TEW0; P09874; Q96KB5; Q7Z412; P35232; O75925; Q8N2W9; Q92569; Q13526; P53350; P29590; D3DTS7; P30405; P36873-1; Q8WUF5; P30153; Q13362; Q05655; P61289; Q05397; Q06609; Q06330; Q96PM5; Q6PCD5; Q06587; P23396; Q9Y265; Q8N488; P23297; P31949; P29034; P33764; P26447; P33763; P06703; P04271; P25815; Q15424; Q8WTS6; P31947; Q96ST3; Q96EB6; Q15796; Q9NRG4; O95863; Q06945; P08047; Q12772; Q96SB4; P31948; P63165; Q86TM6; P20226; P15884; Q96GM8; P04637; Q12888; Q12888-1; Q13625; Q9H3D4; P13693; O15164; Q15672; P0CG48; P63279; Q05086; P09936; Q96PU4; Q9H9J4; Q9H9J4-2; Q93009; P11473; Q99986; Q14191; Q9NZC7; O14980; P12956; P61981; P63104; Q8TAQ5; Q7L7W2; P29066; Q9ESJ1; P45481; P03126; P06463; P02829; Q08619; P89055; Q923E4; Q8R5A0; P32776; O88898; P26687; Q9PST7; P03070; PRO_0000037536 [P26663]; Q8QW27; P17844; P17844
P01344,P11717; Q93062; P11717; A0A024R644; Q8TDT2; P22692
